"ID","Username","Date","Time","Quote","Hero","Game","Map","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute"
210,"Jaycubz",2023-06-12,14:39:00,NA,"Widowmaker","Overwatch","Rialto","Medic","Vixx","backfilled a backfill game he got 6 kills on widow ",2023,"Jun","Mon",14,"39"
211,"JOOORJAY",2023-06-12,14:39:00,NA,"Ana","Overwatch","N/A","N/A","Vixx","Ana player, 2nd 20240919",2023,"Jun","Mon",14,"39"
212,"BurgerJCC",2023-06-12,16:51:00,NA,"N/A","Overwatch","Numbani","Extraterrestrial","Vixx","Extraterrestrial tag",2023,"Jun","Mon",16,"51"
213,"B4JJR",2023-06-13,17:06:00,NA,"N/A","Overwatch","N/A","N/A","Vixx","before jay jr?",2023,"Jun","Tue",17,"06"
214,"Jace",2023-06-16,04:01:00,"""Jayce""","Sigma","Overwatch","Esperanca","Mercy's Angel","Seb","sigma player, esperanca",2023,"Jun","Fri",4,"01"
215,"JVTO207",2023-06-16,06:48:00,"""finessed""","Echo","Overwatch","Dorado","Philosopher","Seb","dodged junk tire, 2nd 2023-06-16 esperanca",2023,"Jun","Fri",6,"48"
216,"AlmightyTJDR",2023-06-16,13:06:00,NA,"Rammatra","Overwatch","Route 66","Stalwart Hero","Richard","ram on route 66 got rolled",2023,"Jun","Fri",13,"06"
217,"JVT0207",2023-06-16,13:09:00,NA,"Echo","Overwatch","Dorado","Philosopher","Richard","Echo on Dorado, Philosopher",2023,"Jun","Fri",13,"09"
218,"LOLOJD",2023-06-17,15:06:00,NA,"N/A","Overwatch","N/A","Technoknight","Vixx","Technoknight",2023,"Jun","Sat",15,"06"
219,"JSON[]",2023-06-17,15:28:00,NA,"N/A","Overwatch","Shambali","None","Vixx","Shambali, no nametag",2023,"Jun","Sat",15,"28"
220,"JAYSCRILLIN",2023-06-18,13:56:00,NA,"Kiriko","Overwatch","Esperanca","Conquerer","Vixx","Kiriko Esperanca Conqueror, 2nd 2023-08-22",2023,"Jun","Sun",13,"56"
221,"JAYFO",2023-06-19,17:45:00,"""its pride month ofc they gave it to this f*""","N/A","Overwatch","N/A","N/A","Vixx",NA,2023,"Jun","Mon",17,"45"
222,"NOTAJ",2023-06-20,18:16:00,NA,"Mercy","Overwatch","N/A","N/A","Vixx","Mercy player",2023,"Jun","Tue",18,"16"
223,"JAEE",2023-06-20,13:56:00,NA,"Kiriko","Overwatch","Dorado","Star Pilot","Vixx","Kiriko, Star Pilot",2023,"Jun","Tue",13,"56"
224,"JEY",2023-06-20,17:22:00,NA,"Lifeweaver","Overwatch","N/A","All-Star","Vixx","Lifeweaver, All-Star; Possible 2nd 18sep2023 Conqueror",2023,"Jun","Tue",17,"22"
225,"JayOMFG",2023-06-21,17:54:00,NA,"Io","Paladins","N/A","N/A","verdantJay","Paladins",2023,"Jun","Wed",17,"54"
226,"JTHEKING",2023-06-22,17:13:00,NA,"N/A","Overwatch","N/A","Stalwart Hero","Sqweryl","Stalwart Hero",2023,"Jun","Thu",17,"13"
227,"YJ999",2023-06-24,11:44:00,NA,"Cassidy","Overwatch","Havana","N/A","Richard","Cass on Havana",2023,"Jun","Sat",11,"44"
228,"Jxgames",2023-07-04,14:09:00,NA,"Pharah","Overwatch","Ecopoint: Antarctica","Disciple","Richard","Found in custom games",2023,"Jul","Tue",14,"09"
229,"JXRDY",2023-07-04,14:21:00,"""hi :)""","Mercy","Overwatch","Numbani","N/A","Richard","Mercy on Numbani",2023,"Jul","Tue",14,"21"
230,"JJAY",2023-07-05,14:51:00,"""hi""","N/A","Overwatch","N/A","Medic","Despair","Medic, 2nd 2023-07-22",2023,"Jul","Wed",14,"51"
231,"Jpro",2023-07-06,17:03:00,"""GO OFFENSE TEAM!!!!""","N/A","Overwatch","Midtown","N/A","Richard","Midtown spectator, 2nd 2023-08-05",2023,"Jul","Thu",17,"03"
232,"JJWATTAGEE",2023-07-08,11:15:00,NA,"N/A","Overwatch","Nepal","Stalwart Hero","Richard","Nepal Stalwart hero",2023,"Jul","Sat",11,"15"
233,"JBEEZUS",2023-07-11,08:16:00,NA,"Roadhog","Overwatch","N/A","Medic","Vixx","Hog, Medic",2023,"Jul","Tue",8,"16"
234,"JAYJ",2023-07-11,16:16:00,NA,"N/A","Overwatch","Shambali","Neogun","Sqweryl","Lootbox icon, Neogun",2023,"Jul","Tue",16,"16"
235,"JAYSWAN",2023-07-17,15:13:00,NA,"Ashe","Overwatch","Havana","Barbarian","Vixx","Ashe Havana, Barbarian",2023,"Jul","Mon",15,"13"
236,"AlphaJC",2023-07-18,13:18:00,"""whats this about""","Widowmaker","Overwatch","King's Row","Medic","Richard","2nd sighting 2024-07-23",2023,"Jul","Tue",13,"18"
237,"KINGJ",2023-07-20,15:03:00,NA,"Ashe","Overwatch","Eichenwalde","Top 500 Exterminator","Sqweryl","Ashe, Top 500 Exterminator",2023,"Jul","Thu",15,"03"
238,"JGdude1",2023-07-22,08:39:00,"""howdy""","Junker Queen","Overwatch","Nepal","Philosopher","Richard","Junkerqueen on Queen st, Philosopher, 2nd 2023-11-18, 3rd 2023-11-22; Treasure Goblin",2023,"Jul","Sat",8,"39"
239,"AKJ",2023-07-22,12:38:00,"""uhhhhhhhhhh""","Soldier","Overwatch","Esperanca","Bounty Hunter","Richard","Soldier Esperanca, Bounty Hunter, 2nd 2024-08-20 Midtown",2023,"Jul","Sat",12,"38"
240,"ACEJAYSEE",2023-07-23,20:33:00,NA,"Mercy","Overwatch","Colosseo","Peasant","Richard","Mercy Colesseo, Peasant",2023,"Jul","Sun",20,"33"
241,"jay",2023-07-25,14:05:00,"""noble""","N/A","Overwatch","Ilios","None","Vixx","Ilios, no player title",2023,"Jul","Tue",14,"05"
242,"CHADJB3",2023-07-25,16:58:00,"""hi cutie""","Moira","Overwatch","Eichenwalde","N/A","Richard","custom game",2023,"Jul","Tue",16,"58"
243,"ejstupid",2023-07-25,16:58:00,"""poses cutely""","N/A","Overwatch","King's Row","N/A","Richard","King's row",2023,"Jul","Tue",16,"58"
244,"JROFF",2023-07-26,06:08:00,NA,"N/A","Overwatch","N/A","N/A","Vixx",NA,2023,"Jul","Wed",6,"08"
245,"HentaiJay",2023-08-02,14:15:00,NA,"N/A","Overwatch","N/A","N/A","Richard",NA,2023,"Aug","Wed",14,"15"
246,"EMERALDDJJ",2023-08-07,13:35:00,NA,"N/A","Overwatch","Shambali","Streetrunner","Vixx","Shambali, Street runner",2023,"Aug","Mon",13,"35"
247,"JROCKET",2023-08-16,15:35:00,NA,"N/A","Overwatch","Eichenwalde","Stalwart Hero","Richard","Eichenwalde, Stalwart hero",2023,"Aug","Wed",15,"35"
248,"neslyJ",2023-08-19,15:03:00,NA,"Omen","Paladins","N/A","Is a yandere","Vixx","Paladins",2023,"Aug","Sat",15,"03"
249,"RJGENTLEMAN",2023-08-19,15:51:00,NA,"Wrecking Ball","Overwatch","N/A","N/A","Vixx","Ball player",2023,"Aug","Sat",15,"51"
250,"JC917",2023-08-20,13:09:00,NA,"N/A","Overwatch","Circuit Royale","Peasant","Richard","Circuit Royal, Peasant",2023,"Aug","Sun",13,"09"
251,"RIPSURJJ",2023-08-22,16:05:00,NA,"N/A","Overwatch","N/A","Titan","Josiad","Titan playertag",2023,"Aug","Tue",16,"05"
